github.com/Azure/azure-sdk-for-go/sdk/azcore,MIT
github.com/Azure/azure-sdk-for-go/sdk/internal,MIT
github.com/Azure/azure-sdk-for-go/sdk/storage/azblob,MIT
github.com/ant0ine/go-json-rest/rest,MIT
github.com/asaskevich/govalidator,MIT
github.com/aws/aws-sdk-go-v2,Apache-2.0
github.com/aws/aws-sdk-go-v2/aws/protocol/eventstream,Apache-2.0
github.com/aws/aws-sdk-go-v2/config,Apache-2.0
github.com/aws/aws-sdk-go-v2/credentials,Apache-2.0
github.com/aws/aws-sdk-go-v2/feature/ec2/imds,Apache-2.0
github.com/aws/aws-sdk-go-v2/internal/configsources,Apache-2.0
github.com/aws/aws-sdk-go-v2/internal/endpoints/v2,Apache-2.0
github.com/aws/aws-sdk-go-v2/internal/ini,Apache-2.0
github.com/aws/aws-sdk-go-v2/internal/sync/singleflight,BSD-3-Clause
github.com/aws/aws-sdk-go-v2/internal/v4a,Apache-2.0
github.com/aws/aws-sdk-go-v2/service/internal/accept-encoding,Apache-2.0
github.com/aws/aws-sdk-go-v2/service/internal/checksum,Apache-2.0
github.com/aws/aws-sdk-go-v2/service/internal/presigned-url,Apache-2.0
github.com/aws/aws-sdk-go-v2/service/internal/s3shared,Apache-2.0
github.com/aws/aws-sdk-go-v2/service/s3,Apache-2.0
github.com/aws/aws-sdk-go-v2/service/sso,Apache-2.0
github.com/aws/aws-sdk-go-v2/service/ssooidc,Apache-2.0
github.com/aws/aws-sdk-go-v2/service/sts,Apache-2.0
github.com/aws/smithy-go,Apache-2.0
github.com/aws/smithy-go/internal/sync/singleflight,BSD-3-Clause
github.com/cpuguy83/go-md2man/v2/md2man,MIT
github.com/fsnotify/fsnotify,BSD-3-Clause
github.com/gabriel-vasile/mimetype,MIT
github.com/gin-contrib/sse,MIT
github.com/gin-gonic/gin,MIT
github.com/go-ozzo/ozzo-validation/v4,MIT
github.com/go-playground/locales,MIT
github.com/go-playground/universal-translator,MIT
github.com/go-playground/validator/v10,MIT
github.com/golang/snappy,BSD-3-Clause
github.com/google/uuid,BSD-3-Clause
github.com/hashicorp/hcl,MPL-2.0
github.com/klauspost/compress,Apache-2.0
github.com/klauspost/compress/internal/snapref,BSD-3-Clause
github.com/klauspost/compress/zstd/internal/xxhash,MIT
github.com/klauspost/cpuid/v2,MIT
github.com/klauspost/pgzip,MIT
github.com/leodido/go-urn,MIT
github.com/magiconair/properties,BSD-2-Clause
github.com/mattn/go-isatty,MIT
github.com/minio/sha256-simd,Apache-2.0
github.com/mitchellh/mapstructure,MIT
github.com/montanaflynn/stats,MIT
github.com/pelletier/go-toml/v2,MIT
github.com/pkg/errors,BSD-2-Clause
github.com/russross/blackfriday/v2,BSD-2-Clause
github.com/sagikazarmark/slog-shim,BSD-3-Clause
github.com/sirupsen/logrus,MIT
github.com/spf13/afero,Apache-2.0
github.com/spf13/cast,MIT
github.com/spf13/pflag,BSD-3-Clause
github.com/spf13/viper,MIT
github.com/subosito/gotenv,MIT
github.com/ugorji/go/codec,MIT
github.com/urfave/cli,MIT
github.com/xdg-go/pbkdf2,Apache-2.0
github.com/xdg-go/scram,Apache-2.0
github.com/xdg-go/stringprep,Apache-2.0
github.com/youmark/pkcs8,MIT
go.mongodb.org/mongo-driver,Apache-2.0
golang.org/x/crypto,BSD-3-Clause
golang.org/x/net,BSD-3-Clause
golang.org/x/sync,BSD-3-Clause
golang.org/x/sys,BSD-3-Clause
golang.org/x/text,BSD-3-Clause
google.golang.org/protobuf,BSD-3-Clause
gopkg.in/ini.v1,Apache-2.0
gopkg.in/yaml.v3,MIT

